Index,Year,Month,Raw Material,Feedstock Type,Avg Sugar/Starch Content (%),Ethanol Yield (L/ton),Production Volume (tons),Ethanol Produced (L),Cost per Ton (USD),Total Cost (USD),Water Used (m3),CO2 Emitted (tons)
272,2023,4,Bagasse,Cellulose-based,20,210,652.95,137119.5,80.85,52791.01,2981.11,240.47
273,2024,9,Rice Straw,Cellulose-based,18,190,271.69,51621.1,94.63,25710.02,899.84,112.29
274,2023,2,Bagasse,Cellulose-based,20,210,559.19,117429.9,85.96,48067.97,1772.91,259.01
275,2024,3,Corn,Starch-based,60,400,686.29,274516.0,48.33,33168.4,3110.61,467.76
276,2020,1,Wheat,Starch-based,55,370,951.75,352147.5,109.71,104416.49,3924.03,592.74
277,2023,7,Sugarcane,Sugar-based,14,70,651.87,45630.9,52.66,34327.47,2335.75,110.19
278,2022,12,Wheat,Starch-based,55,370,283.4,104858.0,70.2,19894.68,1044.33,222.69
279,2022,3,Rice Straw,Cellulose-based,18,190,205.8,39102.0,68.35,14066.43,738.82,88.46
280,2021,2,Wheat,Starch-based,55,370,898.14,332311.8,92.27,82871.38,3311.98,720.29
281,2023,7,Molasses,Sugar-based,48,250,930.77,232692.5,71.58,66624.52,4261.2,525.28
282,2024,9,Molasses,Sugar-based,48,250,214.67,53667.5,52.66,11304.52,752.75,111.68
283,2023,12,Wheat,Starch-based,55,370,910.6,336922.0,89.04,81079.82,2936.39,606.26
284,2021,1,Bagasse,Cellulose-based,20,210,945.31,198515.1,42.28,39967.71,2995.28,312.23
285,2021,1,Rice Straw,Cellulose-based,18,190,795.71,151184.9,106.23,84528.27,3277.69,291.22
286,2021,11,Wheat,Starch-based,55,370,139.78,51718.6,100.05,13984.99,502.97,113.03
287,2023,5,Bagasse,Cellulose-based,20,210,205.99,43257.9,85.25,17560.65,848.36,73.59
288,2020,9,Sugarcane,Sugar-based,14,70,326.87,22880.9,83.56,27313.26,1029.09,53.59
289,2023,1,Molasses,Sugar-based,48,250,109.16,27290.0,108.59,11853.68,448.4,49.8
290,2024,6,Molasses,Sugar-based,48,250,627.01,156752.5,71.28,44693.27,3098.23,283.48
291,2022,5,Bagasse,Cellulose-based,20,210,492.36,103395.6,58.96,29029.55,2121.03,223.28
292,2021,10,Molasses,Sugar-based,48,250,946.88,236720.0,96.22,91108.79,4194.72,479.43
293,2023,3,Molasses,Sugar-based,48,250,518.49,129622.5,54.74,28382.14,2275.59,247.91
294,2022,11,Wheat,Starch-based,55,370,936.98,346682.6,118.45,110985.28,3878.31,556.36
295,2024,1,Wheat,Starch-based,55,370,119.9,44363.0,54.41,6523.76,589.65,91.01
296,2024,6,Bagasse,Cellulose-based,20,210,386.28,81118.8,52.31,20206.31,1476.48,202.57
297,2023,6,Bagasse,Cellulose-based,20,210,628.41,131966.1,90.17,56663.73,2298.24,308.43
298,2024,7,Wheat,Starch-based,55,370,948.99,351126.3,66.11,62737.73,3976.66,691.85
299,2021,2,Corn,Starch-based,60,400,697.52,279008.0,71.68,49998.23,2496.98,432.25
300,2020,5,Sugarcane,Sugar-based,14,70,706.06,49424.2,78.62,55510.44,2944.74,102.67
301,2023,7,Corn,Starch-based,60,400,961.25,384500.0,86.86,83494.18,3360.43,819.3
302,2020,12,Corn,Starch-based,60,400,208.31,83324.0,55.84,11632.03,963.03,134.8
303,2023,3,Rice Straw,Cellulose-based,18,190,462.14,87806.6,85.61,39563.81,1788.46,135.93
304,2021,12,Molasses,Sugar-based,48,250,211.72,52930.0,110.72,23441.64,970.13,79.91
305,2020,6,Wheat,Starch-based,55,370,806.45,298386.5,40.34,32532.19,2489.57,741.18
306,2022,3,Bagasse,Cellulose-based,20,210,158.72,33331.2,40.22,6383.72,559.63,80.53
307,2024,1,Bagasse,Cellulose-based,20,210,203.57,42749.7,109.41,22272.59,980.14,104.54
308,2021,10,Wheat,Starch-based,55,370,741.81,274469.7,84.1,62386.22,2581.68,647.29
309,2024,3,Corn,Starch-based,60,400,312.01,124804.0,46.18,14408.62,1157.41,231.35
310,2023,8,Bagasse,Cellulose-based,20,210,662.71,139169.1,48.74,32300.49,3194.7,300.05
311,2023,7,Sugarcane,Sugar-based,14,70,815.74,57101.8,89.37,72902.68,3591.05,95.89
312,2023,4,Sugarcane,Sugar-based,14,70,103.07,7214.9,94.82,9773.1,319.61,16.29
313,2020,12,Sugarcane,Sugar-based,14,70,116.36,8145.2,96.45,11222.92,427.48,13.31
314,2022,4,Corn,Starch-based,60,400,806.07,322428.0,111.73,90062.2,2871.6,694.18
315,2022,9,Sugarcane,Sugar-based,14,70,773.65,54155.5,74.87,57923.18,3302.86,111.23
316,2024,4,Rice Straw,Cellulose-based,18,190,776.81,147593.9,60.15,46725.12,3464.98,337.77
317,2023,9,Sugarcane,Sugar-based,14,70,243.99,17079.3,49.75,12138.5,795.54,33.74
318,2023,2,Wheat,Starch-based,55,370,199.82,73933.4,47.12,9415.52,652.65,129.43
319,2021,2,Sugarcane,Sugar-based,14,70,114.93,8045.1,69.73,8014.07,457.65,13.7
320,2024,4,Wheat,Starch-based,55,370,577.98,213852.6,77.31,44683.63,1819.22,420.84
321,2020,2,Wheat,Starch-based,55,370,210.74,77973.8,65.29,13759.21,792.38,120.46
322,2020,7,Rice Straw,Cellulose-based,18,190,779.31,148068.9,119.73,93306.79,2393.33,329.17
323,2023,9,Rice Straw,Cellulose-based,18,190,168.37,31990.3,100.6,16938.02,599.59,75.9
324,2020,1,Wheat,Starch-based,55,370,944.15,349335.5,81.12,76589.45,3638.37,602.65
325,2021,2,Bagasse,Cellulose-based,20,210,860.59,180723.9,73.96,63649.24,3015.01,291.73
326,2021,9,Wheat,Starch-based,55,370,755.17,279412.9,102.62,77495.55,2546.8,616.62
327,2020,6,Wheat,Starch-based,55,370,714.46,264350.2,54.28,38780.89,2278.48,406.77
328,2021,6,Sugarcane,Sugar-based,14,70,670.66,46946.2,106.32,71304.57,3066.83,91.7
329,2022,2,Molasses,Sugar-based,48,250,422.67,105667.5,85.18,36003.03,1809.71,187.79
330,2024,10,Rice Straw,Cellulose-based,18,190,681.23,129433.7,76.91,52393.4,2491.84,263.62
331,2024,9,Corn,Starch-based,60,400,391.09,156436.0,109.74,42918.22,1893.22,304.43
332,2022,5,Sugarcane,Sugar-based,14,70,754.57,52819.9,76.83,57973.61,2912.14,103.54
333,2021,12,Wheat,Starch-based,55,370,986.73,365090.1,56.43,55681.17,4070.25,813.48
334,2020,3,Molasses,Sugar-based,48,250,380.54,95135.0,46.04,17520.06,1397.74,193.45
335,2021,5,Wheat,Starch-based,55,370,173.39,64154.3,102.25,17729.13,650.91,139.35
336,2020,2,Wheat,Starch-based,55,370,209.86,77648.2,89.9,18866.41,948.23,160.3
337,2022,11,Bagasse,Cellulose-based,20,210,309.09,64908.9,56.31,17404.86,930.62,134.94
338,2020,5,Corn,Starch-based,60,400,175.01,70004.0,50.29,8801.25,697.64,120.69
339,2023,2,Bagasse,Cellulose-based,20,210,571.35,119983.5,54.92,31378.54,2799.4,208.12
340,2020,11,Sugarcane,Sugar-based,14,70,861.76,60323.2,92.25,79497.36,3915.18,149.02
341,2020,12,Bagasse,Cellulose-based,20,210,150.24,31550.4,87.37,13126.47,560.8,51.16
342,2022,4,Rice Straw,Cellulose-based,18,190,778.52,147918.8,78.38,61020.4,2790.7,248.12
343,2021,8,Bagasse,Cellulose-based,20,210,220.68,46342.8,75.74,16714.3,914.37,114.71
344,2020,12,Rice Straw,Cellulose-based,18,190,153.34,29134.6,40.8,6256.27,481.31,44.91
345,2024,9,Bagasse,Cellulose-based,20,210,975.6,204876.0,69.9,68194.44,4066.96,496.34
346,2024,9,Corn,Starch-based,60,400,870.54,348216.0,92.74,80733.88,3342.81,809.53
347,2021,2,Bagasse,Cellulose-based,20,210,850.89,178686.9,44.16,37575.3,3556.86,281.57
348,2022,1,Bagasse,Cellulose-based,20,210,432.54,90833.4,42.33,18309.42,1620.58,226.9
349,2024,12,Sugarcane,Sugar-based,14,70,296.18,20732.6,60.73,17987.01,1365.19,47.51
350,2020,2,Bagasse,Cellulose-based,20,210,992.13,208347.3,79.95,79320.79,3641.72,417.66
351,2022,3,Sugarcane,Sugar-based,14,70,668.67,46806.9,56.78,37967.08,3106.12,94.25
352,2024,1,Bagasse,Cellulose-based,20,210,253.5,53235.0,98.84,25055.94,1204.46,105.86
353,2023,12,Corn,Starch-based,60,400,526.14,210456.0,41.48,21824.29,2122.99,507.25
354,2024,5,Bagasse,Cellulose-based,20,210,321.75,67567.5,115.87,37281.17,1139.67,141.17
355,2020,2,Wheat,Starch-based,55,370,853.59,315828.3,63.2,53946.89,3447.42,541.01
356,2024,1,Wheat,Starch-based,55,370,381.93,141314.1,84.98,32456.41,1399.74,303.3
357,2020,9,Rice Straw,Cellulose-based,18,190,374.81,71213.9,117.82,44160.11,1412.18,127.55
358,2024,12,Rice Straw,Cellulose-based,18,190,808.09,153537.1,62.28,50327.85,3409.19,267.79
359,2022,1,Bagasse,Cellulose-based,20,210,908.95,190879.5,66.8,60717.86,3524.74,295.9
360,2024,12,Molasses,Sugar-based,48,250,677.38,169345.0,80.8,54732.3,2271.29,265.14
361,2022,11,Bagasse,Cellulose-based,20,210,706.76,148419.6,93.46,66053.79,2769.11,363.08
362,2022,6,Bagasse,Cellulose-based,20,210,698.62,146710.2,87.11,60856.79,3014.84,330.35
363,2023,6,Sugarcane,Sugar-based,14,70,257.78,18044.6,68.7,17709.49,1056.56,36.25
364,2023,2,Molasses,Sugar-based,48,250,672.79,168197.5,99.13,66693.67,2355.22,270.03
365,2024,1,Bagasse,Cellulose-based,20,210,212.55,44635.5,98.55,20946.8,786.99,102.79
366,2020,2,Rice Straw,Cellulose-based,18,190,124.54,23662.6,93.73,11673.13,613.55,55.63
367,2023,11,Rice Straw,Cellulose-based,18,190,125.79,23900.1,112.87,14197.92,555.89,42.51
368,2022,7,Rice Straw,Cellulose-based,18,190,584.17,110992.3,76.01,44402.76,2262.79,217.71
369,2021,7,Rice Straw,Cellulose-based,18,190,148.43,28201.7,95.27,14140.93,587.34,66.37
370,2020,1,Corn,Starch-based,60,400,152.21,60884.0,106.2,16164.7,729.08,101.05
371,2021,8,Wheat,Starch-based,55,370,169.33,62652.1,118.01,19982.63,566.34,147.8
372,2024,10,Bagasse,Cellulose-based,20,210,228.47,47978.7,56.93,13006.8,846.01,114.22
373,2023,3,Corn,Starch-based,60,400,570.28,228112.0,40.51,23102.04,1971.4,518.58
374,2022,10,Sugarcane,Sugar-based,14,70,392.74,27491.8,65.77,25830.51,1837.77,59.14
375,2023,2,Rice Straw,Cellulose-based,18,190,376.03,71445.7,54.96,20666.61,1613.94,125.05
376,2023,12,Bagasse,Cellulose-based,20,210,259.82,54562.2,96.2,24994.68,1055.67,118.49
377,2020,8,Molasses,Sugar-based,48,250,253.38,63345.0,47.49,12033.02,770.17,158.21
378,2024,5,Wheat,Starch-based,55,370,915.66,338794.2,81.66,74772.8,4302.92,549.41
379,2021,10,Bagasse,Cellulose-based,20,210,870.17,182735.7,115.61,100600.35,3295.19,425.16
380,2020,7,Rice Straw,Cellulose-based,18,190,162.66,30905.4,53.56,8712.07,743.28,74.23
381,2024,7,Molasses,Sugar-based,48,250,299.93,74982.5,103.16,30940.78,1100.76,134.85
382,2023,8,Molasses,Sugar-based,48,250,542.66,135665.0,48.87,26519.79,1844.87,314.95
383,2024,11,Corn,Starch-based,60,400,672.42,268968.0,93.85,63106.62,2523.23,472.09
384,2020,2,Sugarcane,Sugar-based,14,70,523.82,36667.4,101.7,53272.49,2218.16,83.74
385,2024,12,Bagasse,Cellulose-based,20,210,367.0,77070.0,91.52,33587.84,1347.93,121.1
386,2022,10,Bagasse,Cellulose-based,20,210,402.23,84468.3,94.76,38115.31,1886.25,205.09
387,2023,12,Rice Straw,Cellulose-based,18,190,495.57,94158.3,60.63,30046.41,2141.13,189.26
388,2021,4,Bagasse,Cellulose-based,20,210,780.16,163833.6,75.56,58948.89,3133.54,304.34
389,2023,4,Bagasse,Cellulose-based,20,210,435.52,91459.2,57.56,25068.53,1798.08,155.78
390,2022,10,Wheat,Starch-based,55,370,771.4,285418.0,61.75,47633.95,3142.44,621.08
391,2022,12,Wheat,Starch-based,55,370,130.61,48325.7,65.98,8617.65,516.99,111.63
392,2020,8,Sugarcane,Sugar-based,14,70,141.79,9925.3,93.01,13187.89,680.33,15.4
393,2023,8,Bagasse,Cellulose-based,20,210,873.66,183468.6,68.08,59478.77,3434.26,451.35
394,2024,2,Bagasse,Cellulose-based,20,210,580.46,121896.6,106.49,61813.19,2364.53,266.29
395,2024,12,Corn,Starch-based,60,400,521.74,208696.0,108.87,56801.83,1776.19,497.74
396,2022,6,Wheat,Starch-based,55,370,146.65,54260.5,53.23,7806.18,595.93,113.11
397,2020,2,Rice Straw,Cellulose-based,18,190,739.94,140588.6,46.18,34170.43,2701.05,213.9
398,2023,1,Corn,Starch-based,60,400,794.21,317684.0,74.31,59017.75,3134.62,695.76
399,2024,12,Sugarcane,Sugar-based,14,70,477.79,33445.3,113.13,54052.38,1723.86,81.15
400,2023,6,Corn,Starch-based,60,400,829.15,331660.0,117.62,97524.62,3612.23,672.49
401,2020,1,Sugarcane,Sugar-based,14,70,695.27,48668.9,92.0,63964.84,2783.28,104.97
402,2020,12,Molasses,Sugar-based,48,250,747.65,186912.5,115.32,86219.0,2333.84,448.42
403,2024,6,Corn,Starch-based,60,400,302.61,121044.0,99.17,30009.83,1212.07,260.76
404,2023,11,Molasses,Sugar-based,48,250,432.15,108037.5,89.73,38776.82,1346.91,185.2
405,2024,11,Molasses,Sugar-based,48,250,371.91,92977.5,73.4,27298.19,1685.64,184.5
406,2022,10,Wheat,Starch-based,55,370,673.41,249161.7,117.54,79152.61,2592.05,422.08
407,2020,8,Molasses,Sugar-based,48,250,747.86,186965.0,105.05,78562.69,2327.1,353.0
408,2022,6,Sugarcane,Sugar-based,14,70,962.11,67347.7,94.88,91285.0,4709.94,111.21
409,2022,9,Wheat,Starch-based,55,370,475.58,175964.6,115.56,54958.02,1782.77,352.94
410,2023,1,Molasses,Sugar-based,48,250,501.03,125257.5,119.37,59807.95,2375.46,275.62
411,2024,10,Bagasse,Cellulose-based,20,210,565.21,118694.1,47.87,27056.6,1829.68,228.04
412,2020,6,Molasses,Sugar-based,48,250,148.89,37222.5,119.8,17837.02,608.18,65.97
413,2022,11,Molasses,Sugar-based,48,250,725.35,181337.5,58.44,42389.45,2425.41,321.7
414,2024,12,Wheat,Starch-based,55,370,933.58,345424.6,44.22,41282.91,3526.61,814.34
415,2021,8,Rice Straw,Cellulose-based,18,190,737.27,140081.3,81.36,59984.29,2400.84,239.07
416,2022,6,Sugarcane,Sugar-based,14,70,183.86,12870.2,47.8,8788.51,811.11,28.58
417,2021,4,Corn,Starch-based,60,400,934.48,373792.0,49.24,46013.8,2808.42,750.51
418,2021,6,Wheat,Starch-based,55,370,269.98,99892.6,108.85,29387.32,1271.55,196.48
419,2020,7,Sugarcane,Sugar-based,14,70,352.05,24643.5,75.61,26618.5,1481.96,45.6
420,2023,12,Molasses,Sugar-based,48,250,908.29,227072.5,77.52,70410.64,3469.37,420.07
421,2022,12,Molasses,Sugar-based,48,250,234.62,58655.0,113.24,26568.37,934.68,113.46
422,2024,7,Bagasse,Cellulose-based,20,210,133.92,28123.2,77.12,10327.91,404.06,55.25
423,2021,8,Molasses,Sugar-based,48,250,568.96,142240.0,65.07,37022.23,2073.5,243.89
424,2022,1,Corn,Starch-based,60,400,956.96,382784.0,107.51,102882.77,3898.81,855.7
425,2020,6,Sugarcane,Sugar-based,14,70,802.41,56168.7,104.8,84092.57,3694.29,108.87
426,2022,2,Rice Straw,Cellulose-based,18,190,449.39,85384.1,43.3,19458.59,1630.95,166.89
427,2024,12,Bagasse,Cellulose-based,20,210,813.75,170887.5,83.46,67915.57,3098.87,426.17
428,2023,7,Molasses,Sugar-based,48,250,965.08,241270.0,42.3,40822.88,4087.63,382.8
429,2020,6,Wheat,Starch-based,55,370,809.89,299659.3,53.55,43369.61,3543.84,562.95
430,2022,6,Wheat,Starch-based,55,370,688.25,254652.5,53.98,37151.74,2586.86,540.75
431,2024,2,Sugarcane,Sugar-based,14,70,964.16,67491.2,63.13,60867.42,3138.93,163.3
432,2022,3,Rice Straw,Cellulose-based,18,190,789.4,149986.0,53.03,41861.88,3586.95,298.56
433,2020,12,Wheat,Starch-based,55,370,728.0,269360.0,117.93,85853.04,2930.45,405.74
434,2024,8,Bagasse,Cellulose-based,20,210,899.31,188855.1,40.45,36377.09,3209.88,297.7
435,2022,1,Sugarcane,Sugar-based,14,70,622.12,43548.4,58.28,36257.15,2553.1,108.48
436,2024,2,Sugarcane,Sugar-based,14,70,839.74,58781.8,66.69,56002.26,2894.89,137.33
437,2022,3,Sugarcane,Sugar-based,14,70,973.37,68135.9,80.29,78151.88,3331.74,114.6
438,2020,12,Rice Straw,Cellulose-based,18,190,357.43,67911.7,46.89,16759.89,1107.46,105.0
439,2021,6,Corn,Starch-based,60,400,129.77,51908.0,116.12,15068.89,456.36,122.94
440,2021,2,Sugarcane,Sugar-based,14,70,263.44,18440.8,75.11,19786.98,935.36,43.11
441,2022,3,Sugarcane,Sugar-based,14,70,942.2,65954.0,53.53,50435.97,3681.81,144.23
442,2022,1,Wheat,Starch-based,55,370,666.2,246494.0,54.63,36394.51,2128.06,460.81
443,2024,11,Bagasse,Cellulose-based,20,210,544.03,114246.3,77.87,42363.62,2500.03,242.98
444,2021,10,Wheat,Starch-based,55,370,795.23,294235.1,79.2,62982.22,3156.5,625.65
445,2020,2,Corn,Starch-based,60,400,860.42,344168.0,66.92,57579.31,3131.63,581.58
446,2024,8,Bagasse,Cellulose-based,20,210,660.64,138734.4,75.72,50023.66,2572.64,343.49
447,2024,12,Rice Straw,Cellulose-based,18,190,238.01,45221.9,69.68,16584.54,981.96,98.23
448,2020,7,Wheat,Starch-based,55,370,761.32,281688.4,48.43,36870.73,3005.34,498.73
449,2020,9,Bagasse,Cellulose-based,20,210,962.1,202041.0,77.07,74149.05,3960.66,342.93
450,2022,12,Wheat,Starch-based,55,370,787.22,291271.4,75.03,59065.12,2630.8,692.4
451,2024,8,Molasses,Sugar-based,48,250,183.76,45940.0,110.75,20351.42,899.19,80.33
452,2023,3,Bagasse,Cellulose-based,20,210,772.21,162164.1,80.95,62510.4,3518.73,244.71
453,2024,5,Corn,Starch-based,60,400,844.88,337952.0,83.9,70885.43,4165.03,792.92
454,2022,6,Wheat,Starch-based,55,370,650.17,240562.9,63.36,41194.77,2274.15,595.71
455,2022,10,Bagasse,Cellulose-based,20,210,542.67,113960.7,85.16,46213.78,2385.99,258.63
456,2022,10,Rice Straw,Cellulose-based,18,190,125.53,23850.7,44.0,5523.32,581.72,52.12
457,2020,1,Molasses,Sugar-based,48,250,656.92,164230.0,44.57,29278.92,2726.69,336.65
458,2020,8,Rice Straw,Cellulose-based,18,190,429.51,81606.9,48.39,20783.99,1717.91,189.84
459,2023,5,Wheat,Starch-based,55,370,678.34,250985.8,77.42,52517.08,2755.2,540.13
460,2020,10,Sugarcane,Sugar-based,14,70,256.85,17979.5,53.62,13772.3,1184.71,40.21
461,2024,1,Corn,Starch-based,60,400,593.06,237224.0,71.92,42652.88,1972.56,420.32
462,2020,2,Sugarcane,Sugar-based,14,70,695.54,48687.8,97.05,67502.16,3369.51,88.83
463,2024,12,Sugarcane,Sugar-based,14,70,383.44,26840.8,42.99,16484.09,1300.03,61.26
464,2020,9,Molasses,Sugar-based,48,250,337.77,84442.5,66.48,22454.95,1149.48,139.34
465,2023,4,Bagasse,Cellulose-based,20,210,264.83,55614.3,65.82,17431.11,1057.84,98.54
466,2022,5,Molasses,Sugar-based,48,250,519.13,129782.5,59.24,30753.26,2113.55,207.09
467,2020,2,Sugarcane,Sugar-based,14,70,648.96,45427.2,68.0,44129.28,3079.47,108.27
468,2022,8,Rice Straw,Cellulose-based,18,190,380.53,72300.7,98.26,37390.88,1835.42,142.84
469,2021,7,Bagasse,Cellulose-based,20,210,243.02,51034.2,72.11,17524.17,870.36,106.75
470,2023,10,Molasses,Sugar-based,48,250,155.18,38795.0,119.42,18531.6,520.71,68.88
471,2022,7,Wheat,Starch-based,55,370,859.99,318196.3,45.71,39310.14,4008.81,751.12
472,2022,2,Corn,Starch-based,60,400,368.24,147296.0,55.24,20341.58,1682.81,318.78
473,2021,10,Corn,Starch-based,60,400,153.93,61572.0,92.15,14184.65,587.99,139.62
474,2023,4,Rice Straw,Cellulose-based,18,190,292.98,55666.2,76.09,22292.85,1286.17,132.41
475,2022,4,Rice Straw,Cellulose-based,18,190,599.04,113817.6,54.32,32539.85,1838.87,192.14
476,2023,5,Wheat,Starch-based,55,370,765.45,283216.5,90.62,69365.08,2304.37,695.94
477,2024,6,Bagasse,Cellulose-based,20,210,836.0,175560.0,114.94,96089.84,3939.53,278.82
478,2020,12,Wheat,Starch-based,55,370,588.65,217800.5,59.02,34742.12,2027.62,361.14
479,2023,11,Corn,Starch-based,60,400,198.18,79272.0,98.43,19506.86,738.4,191.67
480,2024,7,Wheat,Starch-based,55,370,757.43,280249.1,52.37,39666.61,2743.17,519.13
481,2022,8,Sugarcane,Sugar-based,14,70,257.77,18043.9,88.9,22915.75,929.39,44.25
482,2020,8,Rice Straw,Cellulose-based,18,190,777.67,147757.3,65.55,50976.27,3439.39,350.01
483,2024,5,Sugarcane,Sugar-based,14,70,483.8,33866.0,44.51,21533.94,1468.61,52.35
484,2024,10,Wheat,Starch-based,55,370,827.37,306126.9,101.83,84251.09,2905.46,686.44
485,2020,10,Corn,Starch-based,60,400,956.85,382740.0,60.21,57611.94,3156.48,855.9
486,2023,11,Corn,Starch-based,60,400,906.6,362640.0,85.14,77187.92,4510.66,813.98
487,2023,8,Wheat,Starch-based,55,370,296.02,109527.4,114.55,33909.09,1320.55,178.44
488,2021,7,Bagasse,Cellulose-based,20,210,674.94,141737.4,99.98,67480.5,2623.69,236.65
489,2021,12,Molasses,Sugar-based,48,250,337.23,84307.5,68.77,23191.31,1170.02,153.74
490,2020,12,Rice Straw,Cellulose-based,18,190,648.45,123205.5,99.86,64754.22,3039.56,287.7
491,2020,6,Sugarcane,Sugar-based,14,70,156.57,10959.9,50.68,7934.97,745.49,20.29
492,2021,9,Molasses,Sugar-based,48,250,185.02,46255.0,53.6,9917.07,597.83,96.6
493,2024,9,Rice Straw,Cellulose-based,18,190,973.8,185022.0,100.15,97526.07,4303.88,432.13
494,2022,12,Corn,Starch-based,60,400,116.0,46400.0,75.88,8802.08,455.14,99.23
495,2020,1,Sugarcane,Sugar-based,14,70,576.79,40375.3,92.49,53347.31,2491.06,81.79
496,2024,12,Corn,Starch-based,60,400,807.73,323092.0,51.47,41573.86,2567.72,725.94
497,2021,9,Molasses,Sugar-based,48,250,641.92,160480.0,62.31,39998.04,3104.96,374.47
498,2024,9,Corn,Starch-based,60,400,701.11,280444.0,76.27,53473.66,3063.28,616.29
499,2021,11,Rice Straw,Cellulose-based,18,190,860.16,163430.4,118.44,101877.35,3468.86,262.22
500,2020,9,Rice Straw,Cellulose-based,18,190,675.65,128373.5,80.35,54288.48,2732.42,307.58
501,2021,6,Corn,Starch-based,60,400,384.28,153712.0,70.56,27114.8,1850.52,360.87
502,2024,9,Rice Straw,Cellulose-based,18,190,433.56,82376.4,114.58,49677.3,1305.48,142.41
503,2022,4,Sugarcane,Sugar-based,14,70,304.0,21280.0,117.87,35832.48,1342.05,34.28
504,2024,7,Bagasse,Cellulose-based,20,210,335.64,70484.4,70.2,23561.93,1422.66,124.03
505,2024,11,Corn,Starch-based,60,400,175.72,70288.0,116.79,20522.34,605.01,129.87
506,2022,12,Rice Straw,Cellulose-based,18,190,685.52,130248.8,62.98,43174.05,2223.09,296.53
507,2023,12,Sugarcane,Sugar-based,14,70,399.11,27937.7,49.62,19803.84,1789.25,64.95
508,2023,4,Rice Straw,Cellulose-based,18,190,326.96,62122.4,114.89,37564.43,1213.02,137.6
509,2024,3,Wheat,Starch-based,55,370,519.48,192207.6,80.9,42025.93,1806.02,382.54
510,2021,1,Wheat,Starch-based,55,370,901.97,333728.9,64.45,58131.97,2874.0,708.45
511,2024,5,Bagasse,Cellulose-based,20,210,749.84,157466.4,87.2,65386.05,3389.37,299.25
512,2020,2,Molasses,Sugar-based,48,250,400.36,100090.0,109.02,43647.25,1532.65,176.18
513,2024,11,Bagasse,Cellulose-based,20,210,379.04,79598.4,98.87,37475.68,1650.98,143.14
514,2024,3,Sugarcane,Sugar-based,14,70,406.87,28480.9,45.19,18386.46,1506.33,66.86
515,2021,12,Rice Straw,Cellulose-based,18,190,513.35,97536.5,108.35,55621.47,1870.1,183.57
516,2022,10,Corn,Starch-based,60,400,911.15,364460.0,79.87,72773.55,3877.63,791.02
517,2020,4,Wheat,Starch-based,55,370,287.56,106397.2,73.1,21020.64,1148.58,259.39
518,2022,1,Rice Straw,Cellulose-based,18,190,917.58,174340.2,104.52,95905.46,3377.22,365.23
519,2024,11,Wheat,Starch-based,55,370,251.9,93203.0,47.99,12088.68,1060.57,174.46
520,2021,8,Corn,Starch-based,60,400,872.75,349100.0,101.55,88627.76,3094.79,828.59
521,2020,9,Corn,Starch-based,60,400,878.48,351392.0,87.66,77007.56,3074.82,764.74
522,2021,2,Molasses,Sugar-based,48,250,932.01,233002.5,51.19,47709.59,4020.1,533.15
523,2020,8,Rice Straw,Cellulose-based,18,190,701.89,133359.1,53.37,37459.87,3120.93,205.34
524,2020,4,Molasses,Sugar-based,48,250,817.16,204290.0,105.94,86569.93,3737.28,488.08
525,2021,11,Bagasse,Cellulose-based,20,210,722.56,151737.6,45.92,33179.96,2280.43,329.3
526,2022,7,Wheat,Starch-based,55,370,465.94,172397.8,44.0,20501.36,2131.55,399.74
527,2020,12,Corn,Starch-based,60,400,283.45,113380.0,118.74,33656.85,889.4,193.23
528,2021,10,Wheat,Starch-based,55,370,532.68,197091.6,101.85,54253.46,2445.8,403.2
529,2022,3,Wheat,Starch-based,55,370,788.59,291778.3,92.11,72637.02,3398.59,636.46
530,2021,9,Rice Straw,Cellulose-based,18,190,946.26,179789.4,98.76,93452.64,4521.11,410.75
531,2024,10,Corn,Starch-based,60,400,845.08,338032.0,91.75,77536.09,4006.35,730.2
532,2022,1,Corn,Starch-based,60,400,617.81,247124.0,66.41,41028.76,1992.51,605.98
533,2021,8,Corn,Starch-based,60,400,137.1,54840.0,91.26,12511.75,498.06,96.35
534,2020,2,Corn,Starch-based,60,400,330.06,132024.0,88.67,29266.42,1478.74,250.91
535,2020,1,Corn,Starch-based,60,400,436.63,174652.0,52.0,22704.76,1864.91,406.25
536,2021,1,Wheat,Starch-based,55,370,144.91,53616.7,43.95,6368.79,718.26,107.57
537,2023,2,Corn,Starch-based,60,400,465.55,186220.0,116.92,54432.11,1552.97,347.04
538,2023,8,Wheat,Starch-based,55,370,423.18,156576.6,44.21,18708.79,1867.22,364.61
539,2023,10,Molasses,Sugar-based,48,250,330.49,82622.5,77.89,25741.87,991.91,135.72
540,2020,9,Molasses,Sugar-based,48,250,553.63,138407.5,82.26,45541.6,2695.75,330.21
541,2024,11,Bagasse,Cellulose-based,20,210,241.52,50719.2,60.09,14512.94,1167.53,122.67
542,2020,1,Molasses,Sugar-based,48,250,788.9,197225.0,40.15,31674.33,2440.81,483.71
543,2023,4,Sugarcane,Sugar-based,14,70,741.44,51900.8,72.93,54073.22,2498.76,103.6
544,2024,12,Bagasse,Cellulose-based,20,210,653.67,137270.7,77.6,50724.79,3117.53,222.62
545,2022,3,Sugarcane,Sugar-based,14,70,180.73,12651.1,73.61,13303.54,565.48,28.6
546,2023,2,Bagasse,Cellulose-based,20,210,342.55,71935.5,63.43,21727.95,1240.6,168.78
